id	turn1	turn2	turn3	label
1820	Wowwwwww	Girl they are out of control! This girl is going to live her life in jail. So damn sad.	See this the shit that makes me want to be an activist, studied her story in my criminal justice class and there’s no way she should be doing 50 years!!!	others
1821	This is an absolute disgrace, completely undermines and potentially ends the Challenge Cup as a competition.	Have they not asked Red Star to do the same? Absolute bullshit if not!	I think it’s more because they have a realistic chance of making the CCF, but what about the likes of London, Salford, etc… Catalans were asked apparently!	others
1822	Why am I just now finding out about this?	what that b Bro	Fake man. I ain’t tweet it. Somebody got me hacked or something	others
1823	Hurrah for us!! If any of you lovely peeps could spare a moment to vote for us, I'd be super grateful	(even if you didn’t @ me)	If gave me more characters, I would have @'d everyone Thanks for voting	others
1824	Someone asked me how old am I, I said guess, the person said 34? I said noooo she said “whaattt higher? “	Looooooooooooooool well maybe it’s because you’re always tired maybe it’s showing x	2k19 more sleep less stress	others
1825	I thought lil homies 15 mins was up	Y'all keeping this snot nosed punk famous	You right. I played myself	others
1826	No wonder you are single. Not only do u look like a boy but the face u hb is the boring boy kinda face.	Why are you lieing like this nah	frst of all who ever is using habiba's fone give it bk.	others
1827	are literally filling my timeline for the whole day :)	I hope my camera roll brings you giggles.	Ohhh, it definitely is. I've been cracking up all day, lol	others
1828	Happy Birthday CEO Joe...	Don’t listen to them Kevin. They’re just scared because they know the boys are coming for that ass and a division crown	I love Dubs... ...From December to March	others
1829	I’m shook	Singgggg	Lol I did the range finger and everything watching this just to make sure lol	others
1830	85 hours of my life was spent listening to	you gotta tape up that camera so the FBI dont see you crankin your hog	It’s my work computer man!	others
1831	here is my spotify wrapped if you're interested ^_−☆	kensuke ushio!	i love him so much!! he's a big inspiration...	others
1832	Ça fait tellement longtemps que je n'ai pas lu de fan fiction	same here	The worst part is that I have a lot in my Wattpad library, but I never have time to read	others
1833	Yeth but not in that way. Dey my baby forever tho	me?	Yeth smooches ur head	others
1834	I need y’all help tweeps...I ordered rainbow six siege from	That certainly must have been a surprise to receive. It is my understanding this particular SKU was intended to be a physical copy, however, it was discovered that it was mislabeled as digital. We have corrected this on our site. Were you ok with the physical copy? ^Melissa	Well I wanted it digitally, but I’ve opened the package already so I guess the disc will suffice.	others
1835	Interested in the school nutrition, AKA the chocolate milk debate? I'll be talking to	Changing dial now!	Well, we have at least one listener. :)	others
1836	This is a high school age kid? Does he ever give up any hits?!	Ha no, five year senior college.	Still... impressive. And I love the perspective.	others
1837	Asking for a follow back, so i follow you. week later you unfollow... what's the aim?	People on this app are scam.. Imagin me on this app for since 2011.. i no get anything.. but me i de follo pple.. I dont know if following na food or na degree for here..	Definitely ur got excited when people follow ur but it all depends on u, yu HV to engage time to time	others
1838	My heart	I really cried when I saw her	I would have too!! Those PC's are precious	others
1839	Eh	I like it	lol I only watched it cuz of Tracy's ass	others
1840	U guys don't know how hard it is not to cry right now I'm in the car w my parents on the way to a casino resort and all I wanna do is cry	sending you lots of love. this sucks so much and you deserved to go. i hope this mess is fixed soon.	Oh geez thank u... It's even worse for u!!!! I just can't believe they would ignore the minority this easily....	others
1841	I really thought I'd be over complete strangers (beta) reading my sex scenes by now but NOPE Nota bene, if you know me IRL you are never, ever, EVER allowed to read any of my novels. I will fight to keep them out of your hands (Fortunately, IRL is a small list of people.)	A super-early version of one of my books had a lot of, shall we say, creative scenes in it. My mom was my first beta reader. She did indeed have questions.	That is so brave of you!! I cannot contemplate such bravery haha	others
1842	With that head of yours, you will fall because of the weight	Don’t be stupid Isaac	Foolish Idiot don’t call me Isaac	others
1843	Yoooooo I was tryin to talk to you guys! Huge fan	ayoo that’s dope asf bro	Hell yeah bro, they were partied tho so they couldn’t hear me	others
1844	Looking for 1 fragger PC! Idealy from UK/Nordic area. Dm me if u are interested	I will	Get ur ass on pc then	others
1845	AHH, Wednesday, time to suffer the hell of trying to complete elderly neighbours food shop on the website, without a doubt the worst grocery site. Slow, unresponsive - and crashed after 30 seconds today which is a delightful new low! Actual first world problems I know!	Sorry to hear this, Nikki! Please give our deliver team a call on 0800 188 884, if you need any assistance. Jess	Thanks, I called them - it was equally as frustrating as your website, an hour and three minutes to place an order of about 30 items!	others
1846	Reply	Hello, kindly be more explicit. Cs Team.	I topped up my Acct ystrday but it didn't come through. I was debited also. Here's the username: mergiko	others
1847	One down! Week off work!	We could have been twins except I just moved to phase 2 of my footwear. Hoping for a speedy recovery.	I went red for the holidays!	others
1848	Who of my Ocs should i draw whit this	Card	Arre	others
1849	n*rmani needs to delete that collab	her verses got wacker anyways	i’ve tried to be on her side but all this controversy keeps getting worse	others
1850	Despite the rain I still managed to get a few pics yesterday. The other picture was taken at Covent Gardens.	This picture is stunning! I love covent garden, I can sit and people watch for hours	Thank you yes I like it there x	others
1851	TFW you realize you could ship 2/3 of your trade binder to Card Kingdom and get two boxes of MTGUMA...	FTFY: MRW	Considering my trade binder is two cards over $40, and everything else ~$15 or less, that's not completely horrible.	others
1852	Yes, that's frost on my car.	We have it worse back here I the U.K. I have to get up 10mins eailer just to d-ice the car. Roll on summer	Oh, when I lived back in Pennsylvania, I fully expected it on a daily basis over the colder months.  Here in Tampa, not so much!	others
1853	Do black ppl go to cracker barrel?	I’ve been once the food is actually pretty good	Noted	others
1854	hi best friends!!!!	Hey Hru?	i’m good hbu :)	others
1855	Slideeeee	See I’m big and I’m not good in tight spaces	Lmao you won’t even realize cus you drunk	others
1856	Haven't seen you in ages ! Where have you been hiding.	I’ve been here:)	Well I haven't been able to see you.	others
1857	100% recommend , don’t do it before your test / final	Lmaooo you did it?	I checked after and realized I made the right decision lmao	others
1858	The very first two songs say a lot	ok but the third one too, its a bop	It is! But I wouldn't say that I listened to it that much	others
1859	Lost all hope in love now I’ve heard Jack n Dani have split	I love you xx	Aw baba I love you loads x	others
1860	Nigga spankys did me right	sucka	Bruh you get on my nerves every time I’m out I hit you up then you say “ima see (zb voice)	others
1861	Why have	Hello Sal, thanks for your query. We do still have products, is it these you're after - - Marc	Hi, no it's the shampoo and conditioner. They have gone from my local stores.	others
1862	Love the rain and all but I just Tokyo drift on Fairplex on accident lmao thought it was finally over	sorry that I’m laughing but the way you wrote this was pure comedy! Hope you’re ok though	Haha lol no worries , yeah it was scary at first but thank god I gain back control lol it was funny tho haha	others
1863	Time for some lap snoozles	Who is that gorgeous pupper?	This is LuLu, Yoshi's new little sister	others
1864	my mood cause im gonna eat ramen at place that has my name in it next week.	Flummoxed Ramen???????	they might be flummoxed after i tell them that i go by Oni and i am about to eat Oni ramen.	others
1865	i stare out window	I’m outside waving, you see me?	i'm not allowed to look outside :/	others
1866	The people bailed out the banks in 2008. Shouldn't they be paying us back at this point?	Lol at the tea photo. It’s so perfect!! PS Where’s Kermit??	Haha I'm Kermit in this picture taking the shot.	others
1867	my older sister just sent me this and i am actually crying. i got her into wild world earlier this year and she knows how much the anchor means to me and just fjdkfjfkgk all of this makes my heart absolutely SWELL like look at her top songs????	is that freaking out by in the top spot??	YES hahaha i got her and her husband and my younger sister into them earlier this year too	others
1868	Very talented	Thank you	No problem!! Where r u based?!	others
1869	CS:GO IS NOW A FREE TO PLAY GAME?! what does this mean for those who bought csgo before?	we get prime fore free and we get a skin and we get a loyalty badge	wrong on the first and last topic. Loyalty badge is ONLY if you have played csgo for over 5 years.	others
1870	Realized *after* I’ve written all the personal and research statements and was ready to upload them that my PhD is 6 months too old for the fellowship.  Must read fine print.	nooooooo all that wooooork	Right?  Still, I only would have been grading.	others
1871	The best potatoes are:	Baked	Twitter didn't let me have more than four choices. Next 3 were baked, scalloped, and browns.	others
1872	nvmd she loves me again	that’s what i thought	you did tho im supposed to be your #1 bff but ig its okay	others
1873	Why?	Isn’t that just a recipe for more CTOs? Can see some sense in terms of nature should already be established & in patient care plan should reflect that, but may lead to further restrictions on liberty?	Yes, its a good point.	others
1874	Fuck this guy. He needs to be found.	Looks like he almost lunges at the lady that walked by earlier - but no truck nearby.  What a scum bag.  I hope they can track the phone serial # and locate the guy, then tune him up really good...	Apparently he's been caught so here's to wishing he gets his inside.	others
1875	what’s the best pizza spot in Atlanta?	edgewood pizza.	shtaaaanks.	others
1876	Season 6 of what?	Fortnite????	Oh nvm I thought	others
1877	Apparently I now listen to podcasts while doing chores, so.... recs! I literally listen to and that's it, right now. What am I missing?	Not including my gaming podcasts, I’d recommend 99% Invisible, The Allusionist, Ear Hustle, Everything is Alive, plus Pat’s podcast .	PAT HAS A PODCAST, I DID NOT KNOW THIS, BRB SUBSCRIBING IMMEDIATELY	others
1878	Currently wearing sweatpants and fuzzy crocs in class and I 100% don’t feel bad	I feel this tweet	It’s dead week it’s all good in the hood	others
1879	I need a MAN. I need his strong grip on my hips pulling me close. Eyes locked, heavy breathing. In a trance of lust and passion	Well ya ain't gonna find one here....	I'm not looking here silly	others
1880	And just like that, undergrad is over. Thank you	Big question: Will future wife be at graduation?	Stay tuned	others
1881	I want to get to know the people in my feed better! I don't want everyone to be just a number like or retweet SO tell me one fun/interesting thing you have done/do and one thing about yourself that you like. I mainly focus on but it doesn't have to be about that.	I love	That is a really really cute doggo. Is it a corgi? I think it would be cool to have a little bit of different personalities at the table every time.	others
1882	I hope you get what you dyin for	be careful with me, do you know what you doin?	Whose feelings that you hurting and brusinnnnn	others
1883	Dave’s poetry corner is now open for business What rhymes with 9.30pm? Hmmmm I know  Beer!	I’m really getting into Guinness again	I know what you mean it’s very more’ish	others
1884	Just went to the doctor and they referred me to neurology... I feel like I should be worried but I’m too excited about the possibility of eventually seeing an IMAGE OF MY BRAIN	But also Brain tumor	*bleeding from the nose and ears* Don’t be so dramatic	others
1885	thanks for all ur support i finally made it	kat oh my god	Y'all was screaming at me... But I made it	others
1886	Ageing myself here but when I saw tweets about MX being interviewed by Steve-O, I legit questioned why the dude from Jackass was doing it...	SAME i was confused and excited and then i was disappointed	I REALLY WANTED THAT CROSSOVER TO HAPPEN	others
1887	biiiich give me krbk height difference! !! let them be equal in any aspect but this!! ! !	Totally HC Kirishima to be 5 cm+ taller and with a bigger build than Bakugou	uhm yes pls i need this!!!	others
1888	Some have asked what my preference would be for adding an outfielder. Andrew McCutchen via free agency is my answer. Still productive and feels like a great fit for what Atlanta is building. That would be a deal worth exploring for right length/money IMO.	100% in agreement, esp since he is comfortable leading off. Acuna 2nd, FF 3rd, Donaldson cleanup is ideal	I'd hit McCutchen in the middle.	others
1889	One of the few components that makes games universally better for me is metal coins. Finally bit the bullet and ordered some generic but nice ones to use in... probably... all my games from now on	Very cool! I heard Ukrainian current works quite well	Not a bad idea!	others
1890	Sorry about earlier. It did occur to me after you'd gone that 'you miserable bastard' might not be the right way to address one's boss. I'll bring you a mince pie on Wednesday.	Mind you, “miserable *greedy* bastard” that I am, I’ll happily take the mince pie.	Good, because I shit you not, I do actually make the world's finest mince pies. I even make my own pastry. The most hardened mince pie-hater loves my mince pies.	others
1891	[SMASH ULTIMATE SPOILERS kind of] what the fuck Viridi	What's the context...	I think Pit was asking if it was legal for him to fight in smash at that age but then Viridi's line...	others
1892	Week 14 picks  BAL > KC JAX > TEN CAR > CLE IND < HOU NE > MIA NYG > WAS NO > TB ATL > GB NYJ < BUF CIN < LAC DEN < SF PHI < DAL PIT > OAK DET > AZ LAR > CHI MIN < SEA Record: 107-91	Your record is awful	Thanks	others
1893	thanks!	No problem!	I actually followed you by accident, but was like, oh,well... why not?	others
1894	I’ve been with o2 for ten years... no data, voice or texts for the whole of today (especially when you use it for business) is completely unacceptable - contract being cancelled... when I can make calls again	I’m furious!	I bet there’s no compensating either	others
1895	We all knew it.	"Never knew he had it in him. ""...or wait, she had..."" ""I mean..."" ""...excuse me, I have to pull my foot out of my mouth."""	.... Oh boy..	others
1896	Because sometimes I feel so unaccomplished, & forget that I've already done so much and this is literally only the beginning	It comes from working very hard,  You’re about to level up!  Life is forcing you to break your  Comfort zone!	I feel it!!	others
1897	LMFAOOOOO Offset	A King	Court jester*	others
1898	Offset’s mistress, Summer bunni, cries while apologizing to Cardi B  Why is she crying	She’s wrong for messing with a married man, but however Offset is still the main person to blame. Period.	Facts but they both are goofy’s just as much as the other	others
1899	Hazel is a mechanic, not an alchemist, but she needs to attend the prestigious Alchemical Institute to find a cure for the plague that’s killing her. Her only way in is to steal the identity of a pretentious lordling, but he's the last person who wants to help her.	Ooh this sounds so good!	Thank you!!	others
1900	This man on grindr’s 14km away talmbout “come over”.....excuse me sir do i look like i can afford a plane ticket rn	what is the distance of 14km....	Girl too far. I might get a spirit airlines 2way ticket for $12.99 but i gotta fuck the pilot.	others
1901	welcome to uni!	thank you, miss.	smiles. you're very welcome. i'm jung jinsoul, a third year fallen angel. and you are?	others
1902	Ends  Who or what is is in the Pictures  What is the Connection  Which is the OOO	Triumph tr6, magnum pi, pi bike, tiger. Food (gbbo) triumph cake a couple of pies and tiger loaf. Magnum. Pi is ooo pie and ice cream.	I’ll give you something for that	others
1903	"Transphobic zoophiles: ""you're not allowed to be comfortable inside your own body but you have to let me be comfortable inside of an animal's body."" What has the world come to?"	This is what happens when we let just anybody in the fandom these days.	Zoos aren't furries, I refuse to allow them that title	others
1904	Uh-oh	**Private** Sir M, I need an alibi for an 'incident' that occured earlier today. Could I say I was with you doing Bible study in the park? That way neither of us will be in trouble for things we definitely were not involved in, and should not be blamed for because it wasn't us.	Ordinarily, I would vehemently disapprove of and forbid such an offer but on this occasion, I accept because it's definitely for the greater good.	others
1905	The nationwide outrage about the lack of mobile data today shows you what sort of society we live in, absolute madness! Get on with some fucking work	All you do at work is watch porn...	All I do at work is watch Benji, unless we’re talking about the same thing	others
1906	I wonder how I would look with a nose piercing	Let's go get nose piercings :)	I kinda don’t want my parents to kill me	others
1907	Backing into summer walker dms like:	Lemme find out you’re nice on the skates	I think you highkey just found out	others
1908	this is a lie i listened to pop/stars nonstop for like two weeks	january-october only it's dumb ik	i mean i didn’t start using spotify until like late this year so is whatever	others
1909	This was the Shrek Retold scene I animated. The audio was a fantastic addition	AH this one was great! I had a laughing fit at fiona picking up that door when I first saw it. Great job dude.	Thank you so much! The door and the 'Delete Shrek Scene 46' were the two comedy beats I enjoyed creating the most. The style and execution on your section was phenomenal, by the way. Seriously one of my favorite parts.	others
1910	I wouldn’t have Travis or The Carter’s Top 5. I would have KOD #1 but the rest of the list cool.	Hmm. KOD over Victory Lap & Astroworld? Why you got KOD #1?	I think KOD is amazing, especially live. VL is my #2. And I don’t see what y’all see in Travis. Lol	others
1911	can you help? Looking to get visualisers for each class. Any recommendations for a reasonable price? Thanks in advance.	Have you already got iPads? I use a mirroring app to create a portable visualiser. If not, will have a look at the other ones some classes use as they look fine x	Thank you!	others
1912	KAJSJSJSJSJSJSBSJSJSJ WHAT AN IDIOT OMG	you love me sO	Sigh, I do	others
1913	Soooo how many minutes did you guys spend listening to music this year?	15540, honestly thought it’d be way more	Ok so I think I have a problem	others
1914	Me when anyone says they feel sick 'HAVE GINGER. IT'LL HELP!!'	You’d always offer to make me one when I didn’t feel well at uni	I swear I've told so many people this year that ginger helps with sickness. It's true though	others
1915	Goodnight	Ka pela so. Ke maketse today	I am not feeling this night	others
1916	Buzzcocks and Pete Shelley's music meant the world to me as an angsty teen - and it still does now. Really sad news	Shite innit mate. Fucking shite	Couldn't put it better myself. Awful. The hours I spent learning Buzzcocks riffs on guitar when I first started playing - incredible music.	others
1917	Managed to bag a copy of that pesky new St Et freebie CD I was all het up about last week! Surrey North EP - 4 new tracks! Smashing. Should get it at the weekend? Fingers crossed. Big love to my benefactor!	Jammy beggar.	I will alert you to additional copies in the offing if I can. Will let you know!	others
1918	Today has been a hell of a day. Was sitting at my computer when this little guy hit me! screaming the entire time, i caught him and called the environment police to see what to do. I let him go out by the mailbox like they told me i could do.	Waduhek is that thing jfc	Its a spotted salamander, its a endangered species where i live	others
1919	builds character	This institutes built me enough character	no such thing!	others
1920	So, this just in there is no worst boy in Amnesia I was just mean	inch her resting	IKKKI TOOK CARE OF DAD WHEN SHE HAD A FEVER IM CRY	others
1921	Good. See ya	Until the eagles pick em up lol	God I hope night Twitter would explode	others
1922	blue did you see the pq2 dlc where yu summons orpheus	NO?????? i saw the one where he summons thanatos though	it was posted at like 2 am this morning it was 4 legged bright red boy	others
1923	mood	Since when does it rain in socal	Sorry I meant fire*	others
1924	Things that need to stay in 2018: making an Instagram account for your dog.	*cat	That too	others
1925	Your TC doesn’t have to like your tweets.  There are no bye-laws for that.	Wrong - all the women on Twitter	It’s on the internet so it must be true tho’.	others
1926	I have a sweet tooth for you	HI PERFECT I MISS U	HI I MISS YOU BEAUTIFUL	others
1927	apart from a 100 million dollars i need my best friend to stop fucking acting like my boyfriend	O go kwalla di channels	bona kere a batle go bona “love lives here” yaka	others
1928	“Hold my scarf” If you hear	"Marc Dear Heart, had to follow you after this epic piece, and your use of ""contretemps"". !MM"	the french have to have a different word for everything	others
1929	I think it is time that these were addressed correctly. I open the forum to	"I have just two clarifying questions:  1) pigs in a blanket now sandwiches? 2) Tacos only counting hard shell and 'meat,' or ""tacos"" counting soft flour and fish?"	1) yes 2) yes	others
1930	Delete this tweet	imma fan but tell me how bro not tho lmao? I swear nobody in the music industry even rock with him anymore lowkey and he got all these weak ppl opening for him on the 8th and he never wanna drop any of his cold ass snippets/songs smh	That’s not falling off. He just be teasing you	others
1931	How is everyone doing tonight then? Friday tommorow	Fucking drunk	Haha it’s not Friday night lad!	others
1932	I made it almost to work today with my kid still in the car.	I told u I’m surprised u drop your kid off in the morning!!	It was bad. Can I quit my job.	others
1933	escribimos un TEMAZO en español hoy ESTAMOS CON TODAAAAA, QUIEN QUIERE ESCUCHARLA?	wHaT dOeS TeMaZo AnD tOdAaAaA mean	i gotta teach u spanish	others
1934	One of those nights. Because deadlines don't care about your sleep.	Guy why is it so water you’re drinking? Why are you disgracing me like this?	Twitter said I should drink water for clear skin.	others
1935	The Ohio State hoops team grabbed another significant, early-season Big Ten win away from home. Chris Holtmann has his team doing some solid work.	Austin, I have really enjoyed following your tweets for the CFB season, keep up the good work bud.	Appreciate that very much, Stu!	others
1936	If you enjoy Elves Orcs Sword fights Fist fights fun characters Magic-fu Fire-fu Lute-fu And fermented hog pee You should check out my fantasy books in paperback,	Fermented-what?!	Scorovian Hog Juice! After just one sip, you'll wonder why the hell you ever tried it in the first place!	others
1937	aries.	This took me out asf Bitch you stooopid	No Aries slander in my mentions pls thank u	others
1938	fuck y'all I'm gonna get the 1/3 repackage anyways	LAOKAOALAOAL DO IT	I will	others
1939	I'm glad Microsoft bought Minecraft. I don't have to ban my kids from playing it.	"Gonna go out on a limb and say ""what has notch done now, the dick?"""	Being a racist prick	others
1940	Got a business question? Ask me here, and I just might feature it on my podcast,	How do you market s business like marijuana that carries a stigma?	I woulnd’t be afraid of negative reaction, because I’ve learned over the years in business that for a young business, even a negative review builds the business. Take advantage of the controversy that’s out there. Not every type of business can do that.	others
1941	"I thought she said ""Get off my nick"" dhxbxbxsnsn"	I think in Global at one point she says get of my neck shshshshs to keep it more pg while they forgot about that quick shshshshsh	That's the one im talking about	others
1942	If you’re not familiar with why and how White Feminism (the self-aggrandizing form of feminism that dismisses intersectionality in favor of implicit white female supremacy) makes people of color angry, here’s a piece that expresses that frustration.	I've never wanted to physically embrace a headline before now.	SERIOUSLY.	others
1943	Yes you have nigga lol remember when we went wit the church a few years back?	I Ain’t Go On That Trip With Y’all Bro	Ohh wrd lol why tf you miss that trip? We had a fun time bruh lol	others
1944	"Well this certainly makes my ""work"" here easier"	Hey is Papelbon in this bracket of least liked Phillies or what	Give me a little credit here	others
1945	Sweetie, no, stop, you’re embarrassing yourself.	No I am not.	Are you sure? Because you’ve gone from “I’m gonna MURDER HER! Mwahahaha!” to “NUH UH!” in less than half an hour.	others
1946	Salary: Competitive	against precariousness?	"dysphemic is more better: ""salary: we keep it private because it fucking sucks but like any other, right?"" i.e."	others
1947	Wondering if many in racing world are watching BBC 2 now.	I'm at party. What's going down!?	Documentary about the escape attempt of one of Sheikh Mohammed’s daughters. Enjoy the party.	others
1948	friends that share music with you are forever appreciated	Comparte unas conmigo	Got you boo	others
1949	Hia, I raised an enquiry via your online form because my parcel was delivered to the wrong address and recipient (Just to check if you can help, I'm trying DHL too) but your team has closed the ticket with no response. Can somebody help re delivery or refund please?	Hi Sarah, we're so sorry to hear your parcel was delivered to the wrong address, please DM us with your order number and we will get this resolved for you right away. Team OB	Hi there, your team kindly reopened the ticket and are investigatingthank you	others
1950	The Star Wars cantina band song is on my Spotify top songs playlist. Ok	I am currently listening to it (off of a Star Wars theme CD I made for my car) AS I READ THIS TWEET no joke I was not expecting this connection today	Ah! No wonder my hair is so staticky today. There’s a current or something going from u to me	others
1951	Parent(s)/Guardian(s), Unfortunately do to a lack of numbers, the Grade 5 to 8 Ski Trip has been cancelled.	So disappointing	I know	others
1952	I’m gonna end up picking at food surrounding a chicken leg, leaving the chicken there (wasteful) and anyone who might otherwise ask if I’d care to dance will think twice!	why not simply send a company wide email beforehand letting everyone know you're available for dancing	It’s a little complicated...it’s a place I volunteer, not my work...not sure if I’d be allowed to send a memo like that...	others
1953	i still haven’t listened to zayn’s new song because i’m not ready to be sad yet	good luck	i’ll tweet my review later......	others
1954	...	least she’s willing to let you have cats and live together at the same time	we have decided on 2 cats 2 dogs and 2 ferrets	others
1955	Y'all with the nice voices don't understand how blessed you are I would never shut up if I sounded so good  I can only wish	Drop a recitation faTEA	Astaghfirullah  I don't want to cause anyone takleef	others
1956	They playing THE 1975 in MACDONALDS I GOT BIT TO EXCITED	you are SO cute	I want new music babe!!!	others
1957	What does fame have to do with cheating ?? Goodbye	his money and his status as a performer were going to allow him to cheat wayyyyy before cardi did	Sis if you think money gives someone a pass to cheat you need to seek help. I gtg I lost brain cells reading your tweet dis tew much	others
1958	I want justice for Ally but neither Missouri or Texas make me feel hopeful that she’ll get the justice she deserves. This is just a sad reminder that we must protect our trans youth at all fucking costs. Rest In Power, baby.	Just for clarity: Texas County is a place inside the State of Missouri. The trial is to take place entirely in Missouri.	thank you!! still not hopeful. let’s hope im wrong.	others
1959	This man took it to Google	i needed answers.	I don't blame you lol I've taken sins to Google.	others
1960	BIRTHDAY GIRL	happy birthday n	Thankyouu D	others
1961	Friends outside of Texas	I neeeeed one	I think there's still some available online.	others
1962	HOW	IM RLLY GOOD AT FINDING STUFF HHHH	HOW DO U KNOW ITS HIS BROTHER THO	others
1963	Wow she loves me	Lol so hostile	Good thing she do fuck w me	others
1964	....christine is on netflix. wow i love this for me	OMFG WIG I LOVE THAT BOOK	it’s so good and such a fun read and the movie was one of my favorites when i was lil i-	others
1965	hi best friends!!!!	What’s up?	what’s up :)	others
1966	i’m ready to die y’all	Stay Safe	thank you love	others
1967	So serious topic here. How do I best display soccer jerseys? I've collected a few over the years and don't have a good way to show them off.	I built a thing with dowels for scarf and jersey display	Got a pic?	others
1968	I think Fruitbat is onstage with Abdoujaparov right now. It’s impossible for me to think about Pete Shelley without thinking of Les.	I absolutely get that.	When I first met Les he could have been Pete Shelley’s brother.	others
1969	Real ones subscribe, like, watch, & retweet	Had me rollin fr good shit Z	On me I appreciate it	others
1970	AirPods charge so quick!	Ayooooo pauseeeeee	what I miss	others
1971	- Chill stream. :D Practicing more Garen stuff for Season 9.	Are you gonna get Smash Ultimate?	Someone gifted me it, so yes, I'm playing it tomorrow. :)	others
1972	To my woman. I can’t explain the joy, goodness and peace you ignited more in my life .. Love is not a word enough for you...	Awwwww	I’m still a learner ooo	others
1973	my ultimate art dream is to be well-liked and stable enough that people buy ych's of my fursona hyena antoine interacting with them at like. a bar. a party. a midnight park picnic. just fursonaz being friendz	SIGN ME UP TBH	new ych series is hyena antoine exclusives... at your holiday dinner, carrying all your shopping bags while you search for more presents for your family, showing up at your door with a bottle of sparkling cider to celebrate your hard studies week	others
1974	emotional check in! how is everyone?	Content	same, it’s a great feeling	others
1975	TA Fam actually just think I’ve made up the word baffies and have convinced them it’s a real word.	You have	I’m offended by this discrimination	others
1976	i dont talk much abt this but some *** stans are hardcore annoying	OMG, it has been bugging me as well. But I try to tolerate it.	a lot of my mutuals and friends are also fans of that group and i think the group is great but a lot of other fans are.....uhm	others
1977	calling all people that think this is the last pinof: why do y'alls think this? It's for science	Just bc it’s the 10th one it doesn’t mean it’s the last smh	Literally what I was thinking	others
1978	I’m just sitting in the mall parking lot ....BUT IM LIT	You were dancing so much it looked like you were driving	I was driving when I was listening to serendipity but I parked and this boo came on I was like OH	others
1979	We are working on our 2019 Issues now for Advertisers and Sponsors! We now INCLUDE marketing & advertising within the cost of our magazine ads!  Our DEADLINE is April 5th, 2019 for Spring Issue. We will NOT extend deadline because it puts us too far behind on printing.	Issue? :) We’ll be out later this month.	It's in our American Outdoor Revolution Magazine and it's at the printer. We haven't got the digital proof back of our design yet. It should be this month. We were pushed out past our deadline waiting on clients ad proofs.	others
1980	May, I’ll back your deal	She has bare opps rn	If she parsons me for this oyster thing, brexit means B R E X I T	others
1981	is it ugly to sc*m old men to pay for my top surgery	no whatre they gonna do? fight u? they r old men . Bones r toothpicks.	the tranny agenda.. at this rate we should all sc*m old men to get what we want	others
1982	Heol, now we are same home. Am I having bad luck?	nOOO. You should be happy because you are the luckiest person!	Heol. . . .  I will never get my luck. PFFFFFFT.	others
1983	I really didn’t want to but im fearing the worst now. I got in touch with a doctor and tonight I’m going to open up and try get myself some help. It’s unbearable, it really is difficult for me to handle... I just hope someone can help me with my mental health.	Doing the right thing mate. Here for you if it helps	I know mate, thank you	others
1984	People say 100 subs is nothing but imagine if you had 100 people watching you talk or play a game in real life.. 100 is not so small now is it? Stop comparing yourself to others and just keep grinding	I have 24 subs, but I get barely get any views	Just keep grinding JG, trust - everyones been where u are	others
1985	I don’t have my wallet today so instead of actually eating on break I’m imagining myself eating a chilito ex sour cream no onions	With a Mountain Dew	Omg we need a skyline date soon	others
1986	honey dutches or 504s	i rolled with 504's and was kinda shook up	lmao shook why	others
1987	Currently off work with a bad back, when can I start collecting my pension?	Just man the fuck up, you’ve got a Crain to do the lifting. The most you lift is a burger	Says the man crying about his knee every hour of the day, my jobs active unlike yours lifting cups of tea to your mouth all day	others
1988	Pink Floyd tribute acts (Aussie Pink Floyd, Brit Floyd) - ever seen them, any good? Expensive for tribute acts.	I’ve not but I’d be quite interested. Aussie Pink Floyd are really popular and put on a big show too.	Both bands are playing DMH next year. Might have a look again after Christmas. Don't know who is the better bet.	others
1989	Bants gone too far. Joke about everything else but leave his family out of all this.	Nah this isn’t bants anymore . This is some level of pure beef and hatred ahan!	Some people don’t know how to talk. That’s just the major problem.	others
1990	"hurrah for the 2018 edition! :) Thanks also for the edition guide! It seems that ""path clarity changes"" link in is broken, I got a 404... could you check it? Thanks and hurrah again!"	We started publishing the edition guide here:   So that’s why!	I updated my bookmark! Many thanks! ;)	others
1991	It sucks when I want to do a hardcore remix of an old pop song or something and the original tempo like 105. It will sound terrible time stretched, feel too fast and sound too ridiculous pitched up :(	Drop it to 85? Although it might sound weird in a lower key	That can work sometimes, but a lot of the time it will either sound too slow or off because the snare is now hitting on what was the off beat.	others
1992	Coffee Break Au - This is a comic about Hanzo and Satya's friendship. They work together in an architecture firm as a project manager and urbanist architect respectively. They frequent a coffee shop across the street from their working place.	Oh my,, this thread is my l i f e,, your art style is incredible and i love the exploration of character in these!!	I'm glad you're enjoying it * - *	others
1993	Go	Where's the FLOCK page ? Have we won yet? And take 100 more photos with people you meet :)	We are in the last category. Give us 2 more hours... :)	others
1994	Yall every see your crush's picture all happy and enjoying life and it makes your day and you almost forget about your problems???	No	Well thats bad. I saw my crush's picture with an elephant and he looks ao happy, i just cant get over it. Wanna see??	others
